fecha_entrada,fecha_cierre,par,lado_spread,simbolo_y,lado_y,precio_entrada_y,precio_cierre_y,simbolo_x,lado_x,precio_entrada_x,precio_cierre_x,gamma,z_entrada,z_cierre,pnl_neto_usdt,motivo_cierre
2026-08-16 19:25:17,2026-08-16 19:25:41,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63096.5000,63057.9000,ETHUSDT,SELL,1893.9500,1895.1900,22.2936,-4.02,-4.58,-2.68,Spread Divergence Stop Loss (Z=-4.58)
2026-08-16 19:26:04,2026-08-16 19:26:27,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63097.1000,63097.1000,ETHUSDT,SELL,1894.8800,1894.9800,21.9292,-4.18,-4.20,-0.57,Spread Divergence Stop Loss (Z=-4.20)
2026-08-16 19:26:49,2026-08-16 19:27:13,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63097.1000,63060.0000,ETHUSDT,SELL,1894.6500,1894.5800,22.0221,-4.14,-4.48,-0.37,Spread Divergence Stop Loss (Z=-4.48)
2026-08-16 19:27:35,2026-08-16 19:27:57,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63097.1000,63097.1000,ETHUSDT,SELL,1893.9300,1893.9300,22.3073,-4.01,-4.01,-0.40,Spread Divergence Stop Loss (Z=-4.01)
2026-08-16 19:28:20,2026-08-16 19:28:43,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63058.0000,63097.1000,ETHUSDT,SELL,1893.8800,1893.7300,21.9459,-4.40,-3.96,-0.05,Spread Divergence Stop Loss (Z=-3.96)
2026-08-16 19:29:06,2026-08-16 19:29:29,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63097.1000,63097.1000,ETHUSDT,SELL,1893.8800,1893.7200,22.3267,-4.00,-3.96,-0.12,Spread Divergence Stop Loss (Z=-3.96)
2026-08-16 19:29:52,2026-08-16 19:30:39,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63094.0000,63057.9000,ETHUSDT,SELL,1893.5800,1894.0800,22.4128,-3.97,-3.64,-1.37,Spread Divergence Stop Loss (Z=-3.64)
2026-08-16 19:31:01,2026-08-16 20:34:00,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63097.2000,63261.1000,ETHUSDT,SELL,1894.1000,1894.0900,20.4231,-3.21,-0.01,0.01,Spread Mean-Reverted (Z=-0.01)
2026-08-16 20:57:07,2026-08-16 21:12:10,SUIUSDT/APTUSDT,SHORT_SPREAD,SUIUSDT,SELL,0.6773,0.6792,APTUSDT,BUY,0.5285,0.5282,0.5366,2.04,3.51,-0.87,Spread Divergence Stop Loss (Z=3.51)
2026-08-16 21:12:33,2026-08-16 21:12:56,SUIUSDT/APTUSDT,SHORT_SPREAD,SUIUSDT,SELL,0.6790,0.6792,APTUSDT,BUY,0.5282,0.5282,0.5336,3.37,3.51,-0.44,Spread Divergence Stop Loss (Z=3.51)
2026-08-16 21:13:19,2026-08-16 21:13:42,SUIUSDT/APTUSDT,SHORT_SPREAD,SUIUSDT,SELL,0.6793,0.6793,APTUSDT,BUY,0.5281,0.5281,0.5331,3.61,3.61,-0.40,Spread Divergence Stop Loss (Z=3.61)
2026-08-16 21:14:04,2026-08-16 21:14:27,SUIUSDT/APTUSDT,SHORT_SPREAD,SUIUSDT,SELL,0.6793,0.6793,APTUSDT,BUY,0.5281,0.5281,0.5331,3.61,3.61,-0.40,Spread Divergence Stop Loss (Z=3.61)
2026-08-16 21:14:51,2026-08-16 21:18:13,SUIUSDT/APTUSDT,SHORT_SPREAD,SUIUSDT,SELL,0.6794,0.6796,APTUSDT,BUY,0.5281,0.5274,0.5331,3.67,3.62,-0.55,Spread Divergence Stop Loss (Z=3.62)
2026-08-16 21:18:35,2026-08-16 21:18:59,SUIUSDT/APTUSDT,SHORT_SPREAD,SUIUSDT,SELL,0.6795,0.6794,APTUSDT,BUY,0.5274,0.5271,0.5298,3.57,3.60,-0.42,Spread Divergence Stop Loss (Z=3.60)
2026-08-16 21:19:21,2026-08-16 21:19:44,SUIUSDT/APTUSDT,SHORT_SPREAD,SUIUSDT,SELL,0.6791,0.6791,APTUSDT,BUY,0.5270,0.5268,0.5292,3.45,3.51,-0.43,Spread Divergence Stop Loss (Z=3.51)
2026-08-16 21:20:07,2026-08-16 21:20:31,SUIUSDT/APTUSDT,SHORT_SPREAD,SUIUSDT,SELL,0.6791,0.6791,APTUSDT,BUY,0.5265,0.5260,0.5277,3.60,3.74,-0.48,Spread Divergence Stop Loss (Z=3.74)
2026-08-16 21:20:54,2026-08-16 21:21:18,SUIUSDT/APTUSDT,SHORT_SPREAD,SUIUSDT,SELL,0.6792,0.6794,APTUSDT,BUY,0.5257,0.5259,0.5251,3.88,3.93,-0.41,Spread Divergence Stop Loss (Z=3.93)
